Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
Demolitionist,Demolitionist,Artificier,Sprengmeisterin,Demoledora,Wyburzyciel,
Hatchet,Hatchet,Lanceur de haches,Axtwerfer,Ejecutor,Topór,
RedGuard,Red Guard,Garde Rouge,Rotgardist,Guardia rojo,Czerwony Strażnik,
Voidwarden,Voidwarden,Gardienne du Néant,Leerehüterin,Centinela del Vacío,Pustkowicielka,
BlackSludge,Black Sludge,Vase Noire,Schwarzschlick,Lodo negro,Czarna Maź,
BlackSludgeElite,Black Sludge Elite,Vase Noire d'Élite,Elite-Schwarzschlick,Lodo negro de élite,Elitarna Czarna Maź,
BloodImp,Blood Imp,Diablotin de Sang,Blutwicht,Duende sangriento,Chochlik Krwi,
BloodImpElite,Blood Imp Elite,Diablotin de Sang d'Élite,Elite-Blutwicht,Duende sangriento de élite,Elitarny Chochlik Krwi,
BloodMonstrosity,Blood Monstrosity,Monstruosité de Sang,Blut-Monstrosität,Monstruosidad sangrienta,Krwawa Potworność,
BloodMonstrosityElite,Blood Monstrosity Elite,Monstruosité de Sang d'Élite,Elite-Blut-Monstrosität,Monstruosidad sangrienta de élite,Elitarna Krwawa Potworność,
ChaosDemon,Chaos Demon,Démon du Chaos,Chaosdämon,Demonio de caos,Demon Chaosu,
ChaosDemonElite,Chaos Demon Elite,Démon du Chaos d'Élite,Elite-Chaosdämon,Demonio de caos de élite,Elitarny Demon Chaosu,
RatMonstrosity,Rat Monstrosity,Monstruosité Ratine,Ratten-Monstrosität,Monstruosidad roedora,Szczurza Potworność,
RatMonstrosityElite,Rat Monstrosity Elite,Monstruosité Ratine d'Élite,Elite-Ratten-Monstrosität,Monstruosidad roedora de élite,Elitarna Szczurza Potworność,
VermlingRaider,Vermling Raider,Éclaireur Vermling,Ratzen-Räuber,Asaltante infestor,Szczurok Grabieżca,
VermlingRaiderElite,Vermling Raider Elite,Éclaireur Vermling d'Élite,Elite-Ratzen-Räuber,Asaltante infestor de élite,Elitarny Szczurok Grabieżca,
Zealot,Zealot,Zélote,Fanatiker,Fanático,Zelota,
ZealotElite,Zealot Elite,Zélote d'Élite,Elite-Fanatiker,Fanático de élite,Elitarny Zelota,
FilthySludge,Filthy Sludge,Vase Crasseuse,Schmutzschlick,Lodo inmundo,Plugawa Maź,
BloodHorror,Blood Horror,Horreur de Sang,Blutschrecken,Horror sangriento,Krwawy Koszmar,
BloodTumor,Blood Tumor,Tumeur de Sang,Blutgeschwür,Tumor sangriento,Torbiel Krwi,
FirstOfTheOrder,First of the Order,Primat de l'Ordre,Erster des Ordens,Primero de la Orden,Przełożony Zakonu,
CrowdMember,Fan,Fan,Bewunderer,Espectador,Kibic,
EntropyDemon,Entropy Demon,Démon Entropique,Entropiedämon,Demonio de entropía,Demon Entropii,
EntropyDemonElite,Entropy Demon Elite,Démon Entropique d'Élite,Elite-Entropiedämon,Demonio de entropía de élite,Elitarny Demon Entropii,
Ward,Ward,Sceau,Schutzzeichen,Tótem,Bariera,
Pillar,Pillar,Pilier,Säule,Columna,Filar,
SummonAbility_WardDisadvantage,All enemies within <nobr>Range <sprite name=Range> 3</nobr> of the Ward gain Disadvantage on all their attacks not granted by Voidwarden.,Tous les adversaires à <nobr>Portée <sprite name=Range> 3</nobr> du Sceau subissent un Désavantage sur toutes leurs attaques qui ne sont pas conférées par la Gardienne du Néant.,Alle Gegner in <nobr>Reichweite <sprite name=Range> 3</nobr> rund um das Schutzzeichen erhalten Nachteil bei allen nicht von der Leerehüterin gewährten Angriffen.,Todos los enemigos a <nobr>Alcance <sprite name=Range> 3</nobr> del Tótem obtienen Desventaja en todos sus ataques que no hayan sido concedidos por el Centinela del Vacío.,"Wszyscy przeciwnicy w <nobr>Zasięgu <sprite name=Range> 3</nobr> od Bariery otrzymują Niekorzyść dla wszystkich swoich ataków, których nie dała im Pustkowicielka.",
SummonAbility_WardPoison,All enemies that enter a hex adjacent to the Ward gain <nobr>POISON <sprite name=Poison></nobr>.,Tous les adversaires entrant sur un hexagone adjacent au Sceau subissent <nobr>EMPOISONNEMENT <sprite name=Poison>.</nobr>,"Alle Gegner, die ein an das Schutzzeichen angrenzendes Feld betreten, erhalten <nobr>GIFT <sprite name=Poison></nobr>.",Todos los enemigos que entren a un hexágono adyacente al Tótem obtienen <nobr>VENENO <sprite name=Poison></nobr>.,"Wszyscy przeciwnicy, którzy wejdą na pole sąsiadujące z Barirtą, otrzymują <nobr>ZATRUCIE <sprite name=Poison></nobr>.",
Target_OneAdjacentAlly,Target one adjacent ally,Cible un allié adjacent,Visiere einen angrenzenden Verbündeten an.,Toma como objetivo a 1 aliado adyacente.,Cel: jeden sąsiadujący sojusznik,
Target_AllEnemiesAdjacentToHexesMovedThrough,Target all enemies adjacent to any hexes moved through,Cible tous les adversaires adjacents à tous les hexagones traversés,"Visiere alle Gegner an, die an ein Feld angrenzen, durch das sich bewegt wurde.",Toma como objetivo a todos los enemigos adyacentes a cualquier hexágono en el que hayas entrado durante el movimiento.,"Cel: wszyscy przeciwnicy sąsiadujący z każdym polem, na jakie wszedłeś podczas ruchu",
Xis_Shield,where X is your current Shield value.,où X est votre valeur de Bouclier actuelle.,X ist dein aktueller Schildwert.,donde X es tu valor de Escudo actual.,gdzie X to wartość twojej Tarczy,
JOTL_010_T,"You may add <nobr>+3 Attack <sprite name=Attack></nobr> to a single target of any of your ranged attacks by marking it with your Favorite. When that target dies, it will drop your Favorite. If you loot that hex, return your Favorite to this Active Ability.","Vous pouvez ajouter <nobr>+3 en Attaque <sprite name=Attack></nobr> à une cible de l'une de vos attaques à distance si vous la portez à l'aide de votre Favorite. Quand la cible est éliminée, votre Favorite tombe à terre. Si vous pillez l'hexagone où se trouvait la cible, remettez la Favorite sur cette capacité active.","Füge einem deiner Fernangriffe gegen ein einzelnes Ziel <nobr>+3 Angriff <sprite name=Attack></nobr> hinzu, indem du es mit deinem Liebling markierst. Wenn das Ziel stirbt, lässt es deinen Liebling fallen. Erbeutest du das Feld, kehrt dein Liebling zu dieser aktiven Fertigkeit zurück.","Puedes añadir <nobr>Ataque <sprite name=Attack> +3</nobr> a cualquiera de tus ataques a distancia moviendo la ficha de Favorita a un único objetivo. Cuando ese objetivo muera, la ficha quedará en el hexágono donde murió. Si saqueas ese hexágono, devuelve tu ficha de Favorita a esta carta de capacidad activa.","Możesz dodać <nobr>+3 do Ataku <sprite name=Attack></nobr> dla twojego dowolnego ataku dystansowego przemieszczając znacznik z karty na cel po rozpatrzeniu zdolności ataku. Kiedy cel zginie, umieść znacznik na polu jego śmierci. Jeśli przeprowadzisz na tym polu grabież, odłóż znacznik z powrotem na kartę.",
JOTL_011_T,"If the target has your Favorite, return it to its Active Ability.","Si la cible a votre Favorite, remettez celle-ci sur sa capacité active.","Wenn dein Liebling auf diesem Ziel liegt, lege es zu seiner aktiven Fertigkeit zurück.","Si el objetivo tiene tu ficha de Favorita, devuelve la ficha a su carta de capacidad activa.","Jeśli cel ma twój znacznik Ulubieńca, odłóż znacznik z powrotem na kartę.",
