Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
ITEM_NAME_CloakOfTheHunter,Cloak of the Hunter,Cape de Chasseur,Mantel des Jägers,Capa del cazador,Płaszcz Łowcy
Item_CloakOfTheHunter,"After performing any Doom action, you may immediately perform a ""<nobr>Move <sprite name=Move> 1</nobr>"" action.","Après avoir accompli une action de type Condamnation, vous pouvez immédiatement effectuer une action « <nobr>Déplacement <sprite name=Move> 1 ».</nobr>","Nach dem Ausführen von Schicksalsaktionen kannst du direkt eine ""<nobr>Bewegung <sprite name=Move> 1</nobr>""-Aktion ausführen.","Después de realizar cualquier acción de Condena, puedes realizar inmediatamente una acción «<nobr>Movimiento <sprite name=Move> 1</nobr>».","Po rzuceniu na przeciwnika Fatum, możesz natychmiast wykonać akcję „<nobr>Ruch <sprite name=Move> 1</nobr>“"
ITEM_NAME_DoctorsCoat,Doctor's Coat,Blouse de Médecin,Arztkittel,Bata de doctor,Fartuch Lekarski
Item_DoctorsCoat,"After you give one or more allies a ""Medical Pack"" or ""Large Medical Pack"" card, you may gain one ""Medical Pack"" card during that turn.","Lorsque vous donnez à un ou plusieurs alliés une carte « Malette de Premiers Soins » ou « Grande Malle de Soins », vous pouvez gagner une carte « Malette de Premiers Soins » durant ce tour.","Wenn du mindestens einem Verbündeten eine ""Medizinbündel""- oder eine ""Großes Medizinbündel""-Karte gegeben hast, kannst du in diesem Zug eine ""Medizinbündel""-Karte erhalten.","Después de entregar a uno o varios aliados una carta de Equipo de curación o Equipo de curación superior, puedes conseguir una carta de Equipo de curación durante ese turno.","Gdy dasz twojemu sojusznikowi kartę Zestawu Medycznego bądź Dużego Zestawu Medycznego, możesz zyskać jedną kartę Zestawu Medycznego w tej turze."
ITEM_NAME_ElementalBoots,Elemental Boots,Bottes des Éléments,Elementarstiefel,Botas elementales,Buty Żywiołów
Item_ElementalBoots,"If you move 3 or more hexes on your turn, create any element.","Si vous vous déplacez d'au moins 3 hexagones au cours de votre tour, vous créez l'élément de votre choix.","Erzeuge ein beliebiges Element, wenn du dich in deinem Zug mindestens drei Felder weit bewegst.","Si te mueves 3 hexágonos o más en tu turno, crea cualquier elemento.","Jeżeli w czasie twojej tury poruszysz się o 3 lub więcej pól, stwórz dowolny żywioł."
ITEM_NAME_FocusingRay,Focusing Ray,Rayon de Concentration,Fokusstrahl,Rayo concentrador,Promień Skupiający
Item_FocusingRay,"During your heal ability targeting an ally, add <nobr>+1 Heal <sprite name=Heal></nobr> and <nobr>Strengthen <sprite name=Strengthen></nobr>.","Quand votre capacité de soins cible un allié, ajoutez <nobr>+1 Soins <sprite name=Heal></nobr> et <nobr>Renforcement <sprite name=Strengthen></nobr>.",Richte deine Heilungsfertigkeit auf einen Verbündeten und füge <nobr>+1 Heilung <sprite name=Heal></nobr> sowie <nobr>Stärkung <sprite name=Strengthen></nobr> hinzu.,"Durante una capacidad de curación dirigida a un aliado, añade <nobr>Curación <sprite name=Heal> +1</nobr> y <nobr>Fortalecimiento <sprite name=Strengthen></nobr>.",Podczas twojej zdolności leczenia skierowanej w sojusznika dodaj <nobr>+1 do Leczenia <sprite name=Heal></nobr> oraz <nobr>Wzmocnienie <sprite name=Strengthen></nobr>.
ITEM_NAME_ImposingBlade,Imposing Blade,Lame Imposante,Imposante Klinge,Hoja imponente,Imponujące Ostrze
Item_ImposingBlade,"Any time you kill an enemy during your turn, gain <nobr>Shield <sprite name=Shield> 1</nobr> for the rest of the round.","Chaque fois que vous tuez un adversaire pendant votre tour, vous gagnez <nobr>Bouclier <sprite name=Shield> 1</nobr> pendant le reste du round.","Wenn du in deinem Zug einen Gegner tötest, erhältst du für den Rest der Runde <nobr>Schild <sprite name=Shield> 1</nobr>.","Cada vez que mates a un enemigo durante tu turno, obtén <nobr>Escudo <sprite name=Shield> 1</nobr> para el resto de la ronda.","Za każdym razem gdy zabijesz wroga podczas twojej tury, zyskujesz <nobr>Tarczę <sprite name=Shield> 1</nobr> do końca rundy."
ITEM_NAME_MastersLute,Master's Lute,Luth de Maître,Virtuosenlaute,Laúd magistral,Mistrzowska Lutnia
