Key,English [en-GB],French,German,Spanish
Consoles/,,,,
Consoles/ACHIEVEMENT_DESC_001,Complete a scenario without any mercenary in your party exhausting,Accomplissez un scénario sans qu'aucun mercenaire de votre compagnie ne se retrouve épuisé.,"Schließe ein Szenario ab, ohne einen Söldner in deiner Gruppe zu erschöpfen.",Completa un escenario sin que ningún mercenario de tu grupo quede agotado.
Consoles/ACHIEVEMENT_DESC_002,Complete a scenario in Normal difficulty or higher,Accomplissez un scénario en difficulté Normale ou plus.,"Schließe ein Szenario mit der Schwierigkeit ""Normal"" ab.",Completa un escenario en dificultad Normal o superior.
Consoles/ACHIEVEMENT_DESC_003,Heal more than 60 hit points as a party in a scenario,Soignez plus de 60 points de vie au sein de la compagnie au cours d'un scénario.,Heilt als Gruppe mehr als 60 Trefferpunkte in einem Szenario.,Cura más de 60 puntos de vida como grupo en un escenario.
Consoles/ACHIEVEMENT_DESC_004,Defeat the Bandit Commander in Campaign,Tuez le Chef des Bandits en mode Campagne.,Besiege den Banditenkommandanten in der Kampagne.,Derrota al Capitán bandido en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_005,Have the brute in your party use Push or Pull actions 6 or more times in a scenario,Faites en sorte que la Brute utilise les actions Poussée ou Traction au moins 6 fois au cours d'un scénario.,Führe mit dem Barbaren in deiner Gruppe mindestens sechs Schieben- oder Ziehen-Aktionen in einem Szenario durch.,Logra que el Salvaje de tu grupo use las acciones de Empujón y Tirón 6 veces o más en un escenario.
Consoles/ACHIEVEMENT_DESC_006,Have the Scoundrel in your party loot 14 or more gold piles in a scenario,Faites en sorte que la Crapule pille au moins 14 tas d'or au cours d'un scénario.,Plündere mit der Schurkin in deiner Gruppe mindestens 14 Goldhaufen in einem Szenario.,Logra que la Pícara de tu grupo saquee 14 pilas de oro o más en un escenario.
Consoles/ACHIEVEMENT_DESC_007,Retire a mercenary,Faites partir un mercenaire à la retraite.,Schicke einen Söldner in den Ruhestand.,Retira a un mercenario.
Consoles/ACHIEVEMENT_DESC_008,Defeat the Inox Bodyguards in Campaign,Venez à bout des Gardes du Corps Inox en mode Campagne.,Besiege die Inox-Leibwachen in der Kampagne.,Derrota a los guardaespaldas inox en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_009,Defeat Jekserah in Campaign,Venez à bout de Jekserah en mode Campagne.,Besiege Jekserah in der Kampagne.,Derrota a Jekserah en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_010,Defeat the Colorless in Campaign,Venez à bout du Sans-Couleur en mode Campagne.,Besiege den Fahlen in der Kampagne.,Derrota al Incoloro en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_011,Defeat the Prime Demon in Campaign,Venez à bout du Démon Primordial en mode Campagne.,Besiege den Erzdämon in der Kampagne.,Derrota al Demonio Supremo en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_012,Defeat the Merciless Overseer in Campaign,Venez à bout de l'Impitoyable Contremaître en mode Campagne.,Besiege den gnadenlosen Aufseher in der Kampagne.,Derrota al Supervisor implacable en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_013,Defeat the Sightless Eye in Campaign,Venez à bout de l'Œil Aveugle en mode Campagne.,Besiege das Blicklose Auge in der Kampagne.,Derrota al Ojo que no ve en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_014,Have a party of 4 mercenaries with at least one enhanced card each,Faites en sorte d'avoir une compagnie de 4 mercenaires ayant au moins une carte améliorée chacun.,"Sorge dafür, dass deine Gruppe aus vier Söldnern mit je mindestens einer verbesserten Karte besteht.","Logra que, en un grupo de 4 mercenarios, cada uno tenga al menos 1 carta mejorada."
Consoles/ACHIEVEMENT_DESC_015,Defeat the Winged Horror in Campaign,Venez à bout de l'Horreur Ailée en mode Campagne.,Besiege den geflügelten Schrecken in der Kampagne.,Derrota al Horror alado en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_016,Defeat the Dark Rider in Campaign,Venez à bout du Cavalier Sombre en mode Campagne.,Besiege den Dunklen Reiter in der Kampagne.,Derrota al Jinete oscuro en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_017,Defeat the Betrayer,Venez à bout du Traître.,Besiege den Abtrünnigen.,Derrota al Traidor.
Consoles/ACHIEVEMENT_DESC_018,Defeat the Captain of the Guard in Campaign,Venez à bout du Capitaine de la Garde en mode Campagne.,Besiege den Hauptmann der Wache in der Kampagne.,Derrota al capitán de la guardia en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_019,Win a scenario dealing no Melee damage,Réussissez un scénario sans infliger le moindre dégât au corps à corps.,"Gewinne ein Szenario, ohne Nahkampfschaden zu verursachen.",Gana un escenario sin infligir daño cuerpo a cuerpo.
Consoles/ACHIEVEMENT_DESC_020,Have a mercenary in your party deal more than 200 damage in a scenario,Faites en sorte qu'un mercenaire de votre compagnie inflige plus de 200 dégâts au cours d'un scénario.,Verursache mit einem Söldner in deiner Gruppe mehr als 200 Schaden in einem Szenario.,Logra que un mercenario de tu grupo inflija más de 200 de daño en un escenario.
Consoles/ACHIEVEMENT_DESC_021,Give 10 or more Medical Packs or Large Medical Packs in a scenario,Donnez au moins 10 Malettes de Premiers Soins ou Grandes Malles de Soins au cours d'un scénario.,Gib mindestens zehn Medizinbündel oder Große Medizinbündel in einem Szenario.,Entrega 10 o más equipos de curación o equipos de curación superior en un escenario.
Consoles/ACHIEVEMENT_DESC_022,Defeat the Elder Drake in Campaign,Venez à bout de la Vénérable Wyverne en mode Campagne.,Besiege den Drakenfürsten in der Kampagne.,Derrota al Draco anciano en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_023,Unlock all the mercenaries in a single campaign,Débloquez tous les mercenaires au cours d'une seule campagne.,Schalte alle Söldner in einer einzigen Kampagne frei.,Desbloquea a todos los mercenarios en una sola campaña.
Consoles/ACHIEVEMENT_DESC_024,Defeat the Gloom in Campaign,Venez à bout de l'Ombre en mode Campagne.,Besiege das Grauen in der Kampagne.,Derrota a la Penumbra en el modo Campaña.
Consoles/ACHIEVEMENT_DESC_025,Complete a scenario without any mercenary in your party killing an enemy,Accomplissez un scénario sans qu'aucun mercenaire de votre compagnie ne tue le moindre adversaire.,"Schließe ein Szenario ab, ohne mit einem Söldner in deiner Gruppe einen Gegner zu töten.",Completa un escenario sin que ningún mercenario de tu grupo mate a un enemigo.
Consoles/ACHIEVEMENT_DESC_026,Complete a Job mission in Brutal difficulty or higher,Accomplissez une quête de vocation en difficulté Brutale ou plus.,Schließe eine Auftragsmission auf der Schwierigkeit Brutal oder höher ab.,Completa una misión de trabajo en dificultad Brutal o superior.
Consoles/ACHIEVEMENT_DESC_027,Defeat the High Cultist in Guildmaster,Venez à bout du Grand Cultiste en mode Maître de guilde.,Besiege den Oberkultisten im Gildenmeister-Modus.,Derrota al Gran Sectario en el modo Hermandad.
Consoles/ACHIEVEMENT_DESC_028,Defeat the Undead Commander in Guildmaster,Venez à bout du Chef des Morts-Vivants en mode Maître de guilde.,Besiege den Untotenkommandanten im Gildenmeister-Modus.,Derrota al Capitán de los no muertos en el modo Hermandad.
Consoles/ACHIEVEMENT_DESC_029,"Complete ""It's all just a game"" scenario in Guildmaster",Accomplissez le scénario « Tout n'est qu'un jeu » en mode Maître de guilde.,"Schließe das Szenario ""Alles nur ein Spiel"" im Gildenmeister-Modus ab.",Completa el escenario «Solo es un juego» en el modo Hermandad.
Consoles/ACHIEVEMENT_DESC_030,Win a scenario with only mercenaries from Jaws of the Lion in your party,Accomplissez un scénario en n'ayant que des mercenaires des Mâchoires du Lion dans votre compagnie.,"Gewinne ein Szenario mit nur Söldnern aus ""Die Pranken des Löwen"" in deiner Gruppe.",Gana un escenario solo con mercenarios de Fauces del León en tu grupo.
Consoles/ACHIEVEMENT_DESC_031,Defeat the Blood Tumor in the Jaws of the Lion,Venez à bout de la Tumeur de Sang dans Les Mâchoires du Lion.,"Besiege das Blutgeschwür in ""Die Pranken des Löwen"".",Derrota al Tumor sangriento en Fauces del León.
Consoles/ACHIEVEMENT_DESC_032,Defeat the Blood Horror in the Jaws of the Lion,Venez à bout de l'Horreur de Sang dans Les Mâchoires du Lion.,"Besiege den Blutschrecken in ""Die Pranken des Löwen"".",Derrota al Horror sangriento en Fauces del León.
Consoles/ACHIEVEMENT_DESC_033,Defeat the First of the Order in the Jaws of the Lion,Venez à bout du Primat de l'Ordre dans Les Mâchoires du Lion.,"Besiege den Ersten des Ordens in ""Die Pranken des Löwen"".",Derrota al Primero de la Orden en Fauces del León.
Consoles/ACHIEVEMENT_DESC_034,Loot all the treasure chests from Jaws of the Lion scenarios,Pillez tous les coffres au trésor des scénarios des Mâchoires du Lion.,"Erbeute alle Schatztruhen aus den Szenarios von ""Die Pranken des Löwen"".",Saquea todos los cofres del tesoro de los escenarios de Fauces del León.
Consoles/ACHIEVEMENT_DESC_035,Complete all Jaws of The Lion side scenarios,Accomplissez tous les scénarios annexes des Mâchoires du Lion.,"Schließe alle Nebenszenarios von ""Die Pranken des Löwen"" ab.",Completa todos los escenarios secundarios de Fauces del León.
Consoles/ACHIEVEMENT_DESC_036,Attack for 20 or more damage in a single attack and complete a scenario,Réussissez une attaque infligeant au moins 20 dégâts.,Verursache mindestens 20 Schaden mit einem einzigen Angriff.,Inflige 20 de daño o más con un único ataque.
Consoles/ACHIEVEMENT_DESC_037,Recover 7 burned cards with Spellweaver actions in a round and complete a scenario,Récupérez 7 cartes détruites à l'aide d'actions de la Tisse-Sort au cours d'un seul round.,Bekomme sieben verbrannte Karten mit Spruchweberin-Aktionen in einer Runde zurück.,Recupera 7 cartas quemadas con acciones de la Tejedora de hechizos en una ronda.
Consoles/ACHIEVEMENT_DESC_038,Use 5 or more Augments with the Mindthief in a scenario,Utilisez au moins 5 Amplifications avec la Perce-Esprit au cours d'un scénario.,Benutze mindestens fünf Aufwertungen mit der Gedankendiebin in einem Szenario.,Usa 5 Aumentos o más con la Ladrona mental en un escenario.
Consoles/ACHIEVEMENT_DESC_039,Kill an enemy with four or more negative conditions and complete a scenario,Tuez un adversaire ayant au moins 4 états négatifs.,Töte einen Gegner mit mindestens vier negativen Zuständen.,Mata a un enemigo con 4 estados negativos o más.
Consoles/ACHIEVEMENT_DESC_040,Inflict 4 or more different negative conditions with the Tinkerer actions in a scenario,Infligez au moins 4 états négatifs à l'aide d'actions du Bricoleur au cours d'un scénario.,Verursache mindestens vier verschiedene negative Zustände mit Tüftler-Aktionen in einem Szenario.,Inflige 4 estados negativos o más con acciones del Manitas en un escenario.
